房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
马銮湾精装3房1卫，户型方正，拎包入住，可看海,https://xm.lianjia.com/ershoufang/105111629240.html,3室2厅,89.94平米,西南,精装,万科城三期,马銮湾东,0人关注 / 一年前发布,265,"29,465元/平",images\house_25_4.jpg
丰融尚城 2室1厅 西南,https://xm.lianjia.com/ershoufang/105115454483.html,2室1厅,70.57平米,西南,精装,丰融尚城,集美其它,0人关注 / 5个月以前发布,235,"33,301元/平",images\house_25_5.jpg
实幼旁 装修两房 南北  满五减个税 进岛便利,https://xm.lianjia.com/ershoufang/105113084813.html,2室1厅,79平米,南 北,简装,翔安新城南区安置房四区,新店,1人关注 / 一年前发布,150,"18,988元/平",images\house_25_6.jpg
松柏 电梯 精装两房 未占用 业主急售！,https://xm.lianjia.com/ershoufang/105111656520.html,2室2厅,41.58平米,北,精装,湖北大厦,松柏,2人关注 / 一年前发布,296,"71,189元/平",images\house_25_7.jpg
"水岸名筑高楼层,明厨明卫,边套,采光好,自住装修",https://xm.lianjia.com/ershoufang/105114209623.html,3室2厅,114.53平米,南 西南,精装,水岸名筑,海沧体育中心,0人关注 / 10个月以前发布,384.5,"33,572元/平",images\house_25_8.jpg
人车分离，三面采光，南北通透，空气好！,https://xm.lianjia.com/ershoufang/105115033218.html,3室2厅,92.1平米,南 北,精装,华林金磊花园,金鸡亭,0人关注 / 7个月以前发布,525,"57,004元/平",images\house_25_9.jpg
电梯高层，小两房，精装修，户型方正，视野好,https://xm.lianjia.com/ershoufang/105112797559.html,2室1厅,55.27平米,南,精装,艾德花园二期,机场区,1人关注 / 一年前发布,321,"58,079元/平",images\house_25_10.jpg
此房满五， 光线好、离地铁口近，看房方便,https://xm.lianjia.com/ershoufang/105113224383.html,2室2厅,79.24平米,南 北,其他,沧翔路花园,海沧生活区,0人关注 / 一年前发布,218,"27,512元/平",images\house_25_11.jpg
国贸鹭原  精装3房  地铁口  好房子,https://xm.lianjia.com/ershoufang/105113722882.html,3室2厅,96.15平米,南,精装,中交国贸鹭原,杏北,1人关注 / 一年前发布,430,"44,722元/平",images\house_25_12.jpg
融信海上城,https://xm.lianjia.com/ershoufang/105115132068.html,2室2厅,39.71平米,西,精装,融信海上城,滨海社区,0人关注 / 7个月以前发布,79,"19,895元/平",images\house_25_13.jpg
卧龙晓城  一梯两户  东南北三面采光  大4房,https://xm.lianjia.com/ershoufang/105112544599.html,4室2厅,161.19平米,东 南 北,精装,卧龙晓城,莲前,0人关注 / 一年前发布,1080,"67,002元/平",images\house_25_14.jpg
高楼层，视野无遮挡，开发商带精装。,https://xm.lianjia.com/ershoufang/105113981634.html,2室1厅,67.59平米,南 北 西,精装,东城合院,新店,0人关注 / 11个月以前发布,159.1,"23,539元/平",images\house_25_15.jpg
实小旁  地铁口 中山公园 实用两套,https://xm.lianjia.com/ershoufang/105113487963.html,3室2厅,86.74平米,东 南 北,简装,石路街,实验小学及周边,0人关注 / 一年前发布,930,"107,217元/平",images\house_25_16.jpg
莲前西路 金林花园 户型方正南北通透，带露台，中楼层,https://xm.lianjia.com/ershoufang/105109859208.html,3室2厅,115.01平米,南 北,简装,金林花园,金鸡亭,21人关注 / 一年前发布,580,"50,431元/平",images\house_25_17.jpg
此房一梯两户，南北通透 ，厅带阳台 ，交通生活都方便,https://xm.lianjia.com/ershoufang/105111768193.html,3室2厅,125.15平米,南 北,简装,卧龙晓城,莲前,1人关注 / 一年前发布,626,"50,020元/平",images\house_25_18.jpg
采光视野好 无遮挡 别墅小区.高绿化.带前后花园。,https://xm.lianjia.com/ershoufang/105110668909.html,5室2厅,152.01平米,南,毛坯,东城合院,新店,4人关注 / 一年前发布,650,"42,761元/平",images\house_25_19.jpg
电梯房公摊小 大平层三阳台只算一半面积安静全明户型,https://xm.lianjia.com/ershoufang/105114988519.html,3室2厅,162.33平米,东北,简装,湖东花园,槟榔,0人关注 / 7个月以前发布,1060,"65,300元/平",images\house_25_20.jpg
采光好， 看小区中庭 动静分离 世茂品质 世茂物业,https://xm.lianjia.com/ershoufang/105107178412.html,1室0厅,57.76平米,西,简装,世茂湖滨首府B区,湖边水库,1人关注 / 一年前发布,218,"37,743元/平",images\house_25_21.jpg
岳阳西里 2室1厅 南 北,https://xm.lianjia.com/ershoufang/105115181553.html,2室1厅,65.06平米,南 北,简装,岳阳西里,岳阳社区,0人关注 / 6个月以前发布,330,"50,723元/平",images\house_25_22.jpg
业主诚心出售，此房采光充足，视野开阔,https://xm.lianjia.com/ershoufang/105112603489.html,1室1厅,37.72平米,东南,简装,未来橙堡,海沧体育中心,0人关注 / 一年前发布,100,"26,512元/平",images\house_25_23.jpg
翔安隧道口，花园别墅 奥特莱斯 澳头特色小镇,https://xm.lianjia.com/ershoufang/105112179051.html,5室2厅,173平米,东 南 北,毛坯,世茂御海墅,翔安新城,0人关注 / 一年前发布,1030,"59,538元/平",images\house_25_24.jpg
朝南大阳台 正面全海景 双主卧设计 中骏模范社区,https://xm.lianjia.com/ershoufang/105114951627.html,3室2厅,171.37平米,东南,简装,中骏蓝湾半岛,滨海社区,0人关注 / 7个月以前发布,860,"50,184元/平",images\house_25_25.jpg
滨海上城 单身公寓 看部分海景,https://xm.lianjia.com/ershoufang/105113397975.html,1室1厅,49.47平米,东,简装,泉舜滨海上城,滨海社区,0人关注 / 一年前发布,270,"54,579元/平",images\house_25_26.jpg
融信海上城,https://xm.lianjia.com/ershoufang/105115887623.html,2室2厅,45平米,东南,精装,融信海上城,滨海社区,0人关注 / 4个月以前发布,92,"20,445元/平",images\house_25_27.jpg
精装 温馨舒适 采光好 双十旁 户型方正 绿苑新城,https://xm.lianjia.com/ershoufang/105114128261.html,2室2厅,86.32平米,南,精装,绿苑新城一组团,滨海社区,2人关注 / 10个月以前发布,369,"42,748元/平",images\house_25_28.jpg
房屋产权满二 省5.3%增值税 朝南采光充足,https://xm.lianjia.com/ershoufang/105114721672.html,2室1厅,62.02平米,北,精装,滨水二里,集美新城,0人关注 / 8个月以前发布,215,"34,667元/平",images\house_25_29.jpg
业主诚售绿苑小区方正格局一房一厅 采光充足 居家选择,https://xm.lianjia.com/ershoufang/105113538801.html,1室1厅,52.93平米,东南,精装,绿苑小区一期,滨海社区,0人关注 / 一年前发布,180,"34,008元/平",images\house_26_0.jpg
中海左岸澜庭边   橡树湾边套大四房    视野好 满五年,https://xm.lianjia.com/ershoufang/105111300468.html,4室2厅,89.12平米,南,毛坯,橡树湾四期,杏北,0人关注 / 一年前发布,382,"42,864元/平",images\house_26_1.jpg
此户型阳台朝南，一梯两户，近中庭和地铁,https://xm.lianjia.com/ershoufang/105113976177.html,2室2厅,72.21平米,南 北,简装,金尚小区,金尚,0人关注 / 11个月以前发布,350,"48,470元/平",images\house_26_2.jpg
地铁口朝南大两房，户型方正采光好,https://xm.lianjia.com/ershoufang/105110323589.html,2室1厅,95.53平米,南,简装,宝龙中心二期,莲坂,5人关注 / 一年前发布,565,"59,144元/平",images\house_26_3.jpg
一梯二户，南北通透户型，采光充足。,https://xm.lianjia.com/ershoufang/105112505580.html,3室1厅,119.64平米,南 北,精装,泉舜星园美第,未来海岸北师大,1人关注 / 一年前发布,295,"24,658元/平",images\house_26_4.jpg
蓝水郡高层精装修可拎包入住，产权満五省税，看房方便,https://xm.lianjia.com/ershoufang/105115039687.html,3室2厅,111.21平米,南 北,精装,未来海岸蓝水郡,海沧体育中心,1人关注 / 7个月以前发布,346,"31,113元/平",images\house_26_5.jpg
框架电梯大两房 全明户型 厅带阳台朝南 地铁口,https://xm.lianjia.com/ershoufang/105116347987.html,2室2厅,74.47平米,东 南 北,简装,金尚小区,金尚,0人关注 / 2个月以前发布,388,"52,102元/平",images\house_26_6.jpg
建发品质 二次 精装修 直接拎包入住 视野无遮挡,https://xm.lianjia.com/ershoufang/105113110534.html,3室2厅,94.24平米,南,精装,建发央著一期,集美新城,1人关注 / 一年前发布,468,"49,661元/平",images\house_26_7.jpg
地铁口，看房方便，诚意卖！高层视野开阔，精装,https://xm.lianjia.com/ershoufang/105115376285.html,2室2厅,100.49平米,南 北,精装,西雅图,海沧外国语片区,0人关注 / 6个月以前发布,295,"29,357元/平",images\house_26_8.jpg
南北朝向格局，采光好，全明户型，满二,https://xm.lianjia.com/ershoufang/105110446160.html,3室2厅,82.35平米,东 南,精装,恒亿尚品湾（1/2/5/6期）,环东海域,3人关注 / 一年前发布,330,"40,073元/平",images\house_26_9.jpg
金尚小区 两房出售 边套户型 小区中间位置,https://xm.lianjia.com/ershoufang/105114996959.html,2室1厅,73.76平米,南 北,简装,金尚小区,金尚,0人关注 / 7个月以前发布,325,"44,062元/平",images\house_26_10.jpg
美地雅登祥吴二里 1室1厅 南 北,https://xm.lianjia.com/ershoufang/105112621673.html,1室1厅,60.57平米,南 北,精装,美地雅登祥吴二里,新店,0人关注 / 一年前发布,138,"22,784元/平",images\house_26_11.jpg
南部新城建发醇熟社区，地铁口，商场旁,https://xm.lianjia.com/ershoufang/105114719287.html,3室2厅,89.89平米,南,简装,建发翔城国际北区,翔安新城,2人关注 / 8个月以前发布,298,"33,152元/平",images\house_26_12.jpg
BRT总站旁，3房无遮挡全明户型，小区安静宜居,https://xm.lianjia.com/ershoufang/105111091196.html,3室2厅,82.76平米,南 北,精装,前埔南区文兴东二里,前埔,7人关注 / 一年前发布,400,"48,333元/平",images\house_26_13.jpg
碧湖嘉园 精装修3房  诚意出售,https://xm.lianjia.com/ershoufang/105113538193.html,3室1厅,112.52平米,南 北,精装,碧湖嘉园,枋湖,1人关注 / 一年前发布,512,"45,504元/平",images\house_26_14.jpg
莲坂地铁口  交通便利  小户型  封闭式花园小区,https://xm.lianjia.com/ershoufang/105109942732.html,1室1厅,31.74平米,北,精装,大洲新世纪广场,富山,12人关注 / 一年前发布,226,"71,204元/平",images\house_26_15.jpg
沧翔路花园 精装修3房只要260万 方便看房子,https://xm.lianjia.com/ershoufang/105113396573.html,3室1厅,92.81平米,南,简装,沧翔路花园,海沧生活区,0人关注 / 一年前发布,253,"27,260元/平",images\house_26_16.jpg
此房是05年带电梯，房子是复式小两房，适合刚需客户,https://xm.lianjia.com/ershoufang/105113251751.html,2室2厅,35.01平米,南,精装,古龙公寓,保税区,0人关注 / 一年前发布,260,"74,265元/平",images\house_26_17.jpg
业主自住装修，通透户型，明厨明卫楼层好边套,https://xm.lianjia.com/ershoufang/105114920516.html,3室2厅,114.11平米,南 西南,精装,水岸名筑,海沧体育中心,0人关注 / 7个月以前发布,338,"29,621元/平",images\house_26_18.jpg
中海品质4房，海景 湖景饱收眼底。保养精致,https://xm.lianjia.com/ershoufang/105112814768.html,4室2厅,133.54平米,南,精装,中海寰宇天下,杏林桥头,1人关注 / 一年前发布,460,"34,447元/平",images\house_26_19.jpg
白鹤山路 电梯大两房 南北朝向 格局方正 采光好,https://xm.lianjia.com/ershoufang/105114217594.html,2室1厅,55.28平米,南 北,简装,白鹤山路,文园路,2人关注 / 10个月以前发布,398,"71,998元/平",images\house_26_20.jpg
世茂璀璨天城二期丨产权满二丨精装修,https://xm.lianjia.com/ershoufang/105110937948.html,4室2厅,125.03平米,南 北,精装,世茂璀璨天城二期,集美新城,0人关注 / 一年前发布,570,"45,590元/平",images\house_26_21.jpg
天御花园 大三房 户型方正 无遮挡 阳光充足 地铁口,https://xm.lianjia.com/ershoufang/105113067640.html,3室2厅,132.11平米,东 北,毛坯,天御小区,海沧区政府,0人关注 / 一年前发布,455,"34,441元/平",images\house_26_22.jpg
毛坯可以按照自己的装修风格装修,https://xm.lianjia.com/ershoufang/105111014221.html,4室2厅,135.33平米,南 北,毛坯,金帝中洲滨海城二期,环东海域,5人关注 / 一年前发布,408,"30,149元/平",images\house_26_23.jpg
高层海景房，南北双阳台 视野无遮挡 采光充足,https://xm.lianjia.com/ershoufang/105106405246.html,3室2厅,146.8平米,东南 北,简装,江山帝景,会展中心,16人关注 / 一年前发布,890,"60,627元/平",images\house_26_24.jpg
满五年，带人工湖的公园小区，看房方便,https://xm.lianjia.com/ershoufang/105114921737.html,2室1厅,89.31平米,南,简装,海晟维多利亚,滨海社区,1人关注 / 7个月以前发布,379,"42,437元/平",images\house_26_25.jpg
四房双卫，业主自住装，满五年省增值税,https://xm.lianjia.com/ershoufang/105109951444.html,4室2厅,123.84平米,南 北,精装,禹洲大学城,集美其它,111人关注 / 一年前发布,260,"20,995元/平",images\house_26_26.jpg
买一层享受两层的面积，全屋全新装修，阳光充足!!!,https://xm.lianjia.com/ershoufang/105111148959.html,3室2厅,99.29平米,东南,精装,明发海景苑,会展中心,4人关注 / 一年前发布,696,"70,098元/平",images\house_26_27.jpg
高层看海 景观视野杠杠的 随时可以看,https://xm.lianjia.com/ershoufang/105114521988.html,2室2厅,43.81平米,东,精装,融信海上城,滨海社区,1人关注 / 9个月以前发布,96,"21,913元/平",images\house_26_28.jpg
观星揽月皆欢喜，闻风听雨只等你，精装修通透四房,https://xm.lianjia.com/ershoufang/105113643767.html,4室2厅,158.72平米,东南 西北,精装,中骏海岸1号,滨海社区,2人关注 / 一年前发布,698,"43,977元/平",images\house_26_29.jpg
总价398万买海沧地铁口高层大三房,https://xm.lianjia.com/ershoufang/105112282971.html,3室2厅,132.65平米,南 北,精装,西雅图,海沧外国语片区,0人关注 / 一年前发布,398,"30,004元/平",images\house_27_0.jpg
滨海社区沿海环境优美中骏海岸一号小区,https://xm.lianjia.com/ershoufang/105110730824.html,3室2厅,148.36平米,南 北,精装,中骏海岸1号,滨海社区,2人关注 / 一年前发布,630,"42,465元/平",images\house_27_1.jpg
联发杏林湾三房 装修效果好 业主诚意出售,https://xm.lianjia.com/ershoufang/105109294388.html,3室2厅,121.14平米,东南,精装,联发杏林湾一号三期,杏林桥头,13人关注 / 一年前发布,426,"35,166元/平",images\house_27_2.jpg
杏林湾一号三期 边套双阳台 海景大三房,https://xm.lianjia.com/ershoufang/105111944216.html,3室1厅,121.29平米,西南,精装,联发杏林湾一号三期,杏林桥头,0人关注 / 一年前发布,436,"35,947元/平",images\house_27_3.jpg
中楼层看湖景，使用面积大，位置佳，业主诚意出售,https://xm.lianjia.com/ershoufang/105111087811.html,3室2厅,120.51平米,东 东南,精装,IOI园博湾,杏锦路,2人关注 / 一年前发布,420,"34,852元/平",images\house_27_4.jpg
满两年，楼层好，采光好，看海视野好，朝南无遮挡,https://xm.lianjia.com/ershoufang/105111813035.html,3室1厅,84.94平米,南,精装,世茂御海墅,翔安新城,0人关注 / 一年前发布,243,"28,609元/平",images\house_27_5.jpg
集美新城 IOI园博湾  精装两房  安静  一线湖景,https://xm.lianjia.com/ershoufang/105112666365.html,2室2厅,86.73平米,南,精装,IOI园博湾,杏锦路,1人关注 / 一年前发布,285,"32,861元/平",images\house_27_6.jpg
一线海景，三个房间都可以看海景，业主诚意出售,https://xm.lianjia.com/ershoufang/105113724078.html,3室1厅,110.93平米,南 北,简装,禹洲中央海岸二期,杏林桥头,0人关注 / 一年前发布,380,"34,256元/平",images\house_27_7.jpg
正地铁口，1.2号线交换站，带双阳台，现已改好,https://xm.lianjia.com/ershoufang/105106681225.html,3室2厅,145.34平米,西南 西,简装,宝龙中心二期,莲坂,12人关注 / 一年前发布,739,"50,847元/平",images\house_27_8.jpg
一梯两户，边套落地窗视野位置佳,https://xm.lianjia.com/ershoufang/105113246892.html,3室1厅,100.42平米,南 西,简装,文兴社,瑞景,0人关注 / 一年前发布,550,"54,770元/平",images\house_27_9.jpg
本房满两年 采光足 看房方便 业主诚意出售,https://xm.lianjia.com/ershoufang/105111522262.html,2室1厅,67.03平米,东南,精装,都市恬园,海沧生活区,1人关注 / 一年前发布,198,"29,540元/平",images\house_27_10.jpg
马銮湾双十近地铁高层东边套三面采光精装四房,https://xm.lianjia.com/ershoufang/105112120039.html,4室2厅,107.49平米,南,精装,海投第一湾二期湖海庄园,马銮湾中心片区,0人关注 / 一年前发布,338,"31,445元/平",images\house_27_11.jpg
龙湖二期靠带状公园，精装修三房，业主诚意卖,https://xm.lianjia.com/ershoufang/105113653048.html,3室2厅,88.58平米,南,精装,龙湖春江彼岸二期,马銮湾中心片区,1人关注 / 一年前发布,269,"30,369元/平",images\house_27_12.jpg
招商莱顿小镇 2室2厅 南,https://xm.lianjia.com/ershoufang/105116537164.html,2室2厅,74.94平米,南,精装,招商莱顿小镇,灌口,0人关注 / 1个月以前发布,188,"25,087元/平",images\house_27_13.jpg
公摊面积小，户型好，动静分离，位置好,https://xm.lianjia.com/ershoufang/105115634292.html,2室1厅,66.5平米,南,精装,湖光路工业设计院,槟榔,0人关注 / 5个月以前发布,425,"63,910元/平",images\house_27_14.jpg
侨旺大厦 3室2厅 东 北,https://xm.lianjia.com/ershoufang/105115076417.html,3室2厅,136.03平米,东 北,精装,侨旺大厦,莲坂,0人关注 / 7个月以前发布,650,"47,784元/平",images\house_27_15.jpg
莲花首岸边套户三房，东南北三面采光~位置安静,https://xm.lianjia.com/ershoufang/105106318189.html,3室2厅,143.68平米,东南,毛坯,莲花首岸,集美新城,3人关注 / 一年前发布,579,"40,298元/平",images\house_27_16.jpg
边套高层，自己重新精装修，个人产权，业主诚意出售,https://xm.lianjia.com/ershoufang/105113119726.html,3室1厅,59.62平米,东南,精装,融信海上城,滨海社区,2人关注 / 一年前发布,150,"25,160元/平",images\house_27_17.jpg
世茂IOI万科里商圈 华大 边套 精装 三室两厅,https://xm.lianjia.com/ershoufang/105112144716.html,3室2厅,128.39平米,南 北,精装,莲花尚院,集美新城,0人关注 / 一年前发布,408.8,"31,841元/平",images\house_27_18.jpg
集美核芯，精装三房，中间楼层看中庭，双地铁口,https://xm.lianjia.com/ershoufang/105107827816.html,3室2厅,115.22平米,东南,精装,莲花首岸,集美新城,23人关注 / 一年前发布,530,"45,999元/平",images\house_27_19.jpg
文灶万寿片区，闹中取静，出行方便。。。。。,https://xm.lianjia.com/ershoufang/105111993693.html,3室2厅,104.27平米,南 北,简装,电化宿舍,文灶,0人关注 / 一年前发布,658,"63,106元/平",images\house_27_20.jpg
龙华里 2室2厅 南 北,https://xm.lianjia.com/ershoufang/105109058731.html,2室2厅,68.39平米,南 北,精装,龙华里,莲花,12人关注 / 一年前发布,365,"53,371元/平",images\house_27_21.jpg
莲花新城边套大三房 安静楼栋 业主诚意出售,https://xm.lianjia.com/ershoufang/105111017000.html,3室2厅,132.61平米,南 北,毛坯,莲花新城二期,集美新城,2人关注 / 一年前发布,440,"33,181元/平",images\house_27_22.jpg
集美桥头 四开间朝南3房 精装 满五 高层看海 采光好,https://xm.lianjia.com/ershoufang/105111405723.html,3室2厅,88.78平米,南,精装,海上五月花六期,集美其它,1人关注 / 一年前发布,355,"39,987元/平",images\house_27_23.jpg
金沙电梯正规一房，此房满五年，产权在手，中间楼层,https://xm.lianjia.com/ershoufang/105114963384.html,1室2厅,54.46平米,南,简装,金沙花园,金鸡亭,0人关注 / 7个月以前发布,316,"58,025元/平",images\house_27_24.jpg
：：此房小区中庭，楼梯公摊小，满五，双阳台。,https://xm.lianjia.com/ershoufang/105115143406.html,3室2厅,106.82平米,南 北,精装,集美中心花园,集美文教区,0人关注 / 7个月以前发布,360,"33,702元/平",images\house_27_25.jpg
看房方便，诚意出售，低楼层，方便老人小孩居住,https://xm.lianjia.com/ershoufang/105109985788.html,3室2厅,93.03平米,南 北,简装,集美中心花园,集美文教区,7人关注 / 一年前发布,370,"39,773元/平",images\house_27_26.jpg
龙湖二期安静位置，采光好，视野宽阔,https://xm.lianjia.com/ershoufang/105112911360.html,3室2厅,107.33平米,南 北,精装,龙湖春江彼岸二期,马銮湾中心片区,0人关注 / 一年前发布,386,"35,964元/平",images\house_27_27.jpg
海沧生活区 居家小两房 海沧大桥旁 进岛方便！,https://xm.lianjia.com/ershoufang/105113904564.html,2室1厅,49.39平米,北,精装,金龙商城一期,海沧生活区,0人关注 / 11个月以前发布,159,"32,193元/平",images\house_27_28.jpg
建行站 马青路地铁口旁 居家三房 采光好 满五年,https://xm.lianjia.com/ershoufang/105112718933.html,3室2厅,106.26平米,南 北,简装,大永固花园,海沧生活区,0人关注 / 一年前发布,249,"23,434元/平",images\house_27_29.jpg
高层看海 景观视野杠杠的 随时可以看,https://xm.lianjia.com/ershoufang/105114521988.html,2室2厅,43.81平米,东,精装,融信海上城,滨海社区,1人关注 / 9个月以前发布,96,"21,913元/平",images\house_28_0.jpg
买一层享受两层的面积，全屋全新装修，阳光充足!!!,https://xm.lianjia.com/ershoufang/105111148959.html,3室2厅,99.29平米,东南,精装,明发海景苑,会展中心,4人关注 / 一年前发布,696,"70,098元/平",images\house_28_1.jpg
滨海社区沿海环境优美中骏海岸一号小区,https://xm.lianjia.com/ershoufang/105110730824.html,3室2厅,148.36平米,南 北,精装,中骏海岸1号,滨海社区,2人关注 / 一年前发布,630,"42,465元/平",images\house_28_2.jpg
看房方便，诚意出售，低楼层，方便老人小孩居住,https://xm.lianjia.com/ershoufang/105109985788.html,3室2厅,93.03平米,南 北,简装,集美中心花园,集美文教区,7人关注 / 一年前发布,370,"39,773元/平",images\house_28_3.jpg
生活区正规两房，南北通透，楼层采光好,https://xm.lianjia.com/ershoufang/105114415068.html,2室2厅,76.11平米,南 北,简装,电厂宿舍小区,海沧生活区,0人关注 / 9个月以前发布,198,"26,015元/平",images\house_28_4.jpg
人工湖旁 居家大三房 南北 朝 向  采光好 满五年,https://xm.lianjia.com/ershoufang/105115623858.html,3室2厅,128.21平米,南 北,简装,都市恬园,海沧生活区,0人关注 / 5个月以前发布,325,"25,350元/平",images\house_28_5.jpg
海沧生活区 居家小两房 海沧大桥旁 进岛方便！,https://xm.lianjia.com/ershoufang/105113904564.html,2室1厅,49.39平米,北,精装,金龙商城一期,海沧生活区,0人关注 / 11个月以前发布,159,"32,193元/平",images\house_28_6.jpg
云顶世界山庄前排中间位置看中庭,https://xm.lianjia.com/ershoufang/105103924697.html,4室2厅,269.51平米,南 北,毛坯,云顶至尊,瑞景,1人关注 / 一年前发布,1460,"54,173元/平",images\house_28_7.jpg
建行站 马青路地铁口旁 居家三房 采光好 满五年,https://xm.lianjia.com/ershoufang/105112718933.html,3室2厅,106.26平米,南 北,简装,大永固花园,海沧生活区,0人关注 / 一年前发布,249,"23,434元/平",images\house_28_8.jpg
地铁口旁 信义里 南北通透 3房2厅 随时看房,https://xm.lianjia.com/ershoufang/105110572500.html,3室2厅,55.42平米,南 北,简装,信义里社区,实验小学及周边,0人关注 / 一年前发布,785,"141,646元/平",images\house_28_9.jpg
海景5房 客厅挑空6米 景观位置好,https://xm.lianjia.com/ershoufang/105110509059.html,5室2厅,194.19平米,东南,毛坯,江山帝景,会展中心,2人关注 / 一年前发布,1570,"80,849元/平",images\house_28_10.jpg
高层 视野无遮挡 看海 毛坯随心装修,https://xm.lianjia.com/ershoufang/105111353308.html,3室2厅,93.71平米,东南,毛坯,新景国际外滩,五缘湾,0人关注 / 一年前发布,1200,"128,055元/平",images\house_28_11.jpg
南北通透格局，楼层好，视野宽阔，采光充足，交通便利,https://xm.lianjia.com/ershoufang/105113476763.html,2室2厅,98.59平米,南 北,简装,信发楼,海沧生活区,1人关注 / 一年前发布,246,"24,952元/平",images\house_28_12.jpg
龙湖二期安静位置，采光好，视野宽阔,https://xm.lianjia.com/ershoufang/105112911360.html,3室2厅,107.33平米,南 北,精装,龙湖春江彼岸二期,马銮湾中心片区,0人关注 / 一年前发布,386,"35,964元/平",images\house_28_13.jpg
禹洲二期，精装一线看海，现代简约风，诚意出售。,https://xm.lianjia.com/ershoufang/105113979851.html,3室2厅,138.12平米,东南,精装,禹洲中央海岸二期,杏林桥头,0人关注 / 11个月以前发布,450,"32,581元/平",images\house_28_14.jpg
集美桥头 保利海上五月花六期 海景房 诚意出售,https://xm.lianjia.com/ershoufang/105114400062.html,3室2厅,90.1平米,东南,精装,海上五月花六期,集美其它,0人关注 / 9个月以前发布,315,"34,962元/平",images\house_28_15.jpg
正规三房，户型方正，楼层好，业主急售,https://xm.lianjia.com/ershoufang/105108285958.html,3室2厅,118.34平米,南 北,毛坯,集安广场,集美其它,5人关注 / 一年前发布,298,"25,182元/平",images\house_28_16.jpg
"电梯小高层前埔BRT封闭式小区 人车分流, 通风采光好",https://xm.lianjia.com/ershoufang/105112992085.html,2室2厅,77.51平米,南,简装,华林花园三期,瑞景,2人关注 / 一年前发布,450,"58,058元/平",images\house_28_17.jpg
莲花首岸，双阳台，沿湖位置，采光充足,https://xm.lianjia.com/ershoufang/105111112035.html,3室2厅,115.6平米,南,毛坯,莲花首岸,集美新城,3人关注 / 一年前发布,460,"39,793元/平",images\house_28_18.jpg
中山路电梯小户型实验幼儿园思北一 双  大同,https://xm.lianjia.com/ershoufang/105110887137.html,1室1厅,40.78平米,南,简装,虹霞大厦,中山路,0人关注 / 一年前发布,450,"110,349元/平",images\house_28_19.jpg
高楼层，东南向，大两房，采光好,https://xm.lianjia.com/ershoufang/105113529423.html,2室2厅,92.33平米,东 南,简装,未来橙堡,海沧体育中心,0人关注 / 一年前发布,258,"27,944元/平",images\house_28_20.jpg
源通中心 1室1厅 北,https://xm.lianjia.com/ershoufang/105116629059.html,1室1厅,38.09平米,北,简装,源通中心,思北,0人关注 / 1个月以前发布,239,"62,747元/平",images\house_28_21.jpg
仙岳路地铁口   正规一房  采光好,https://xm.lianjia.com/ershoufang/105113021405.html,1室1厅,45.11平米,东 北,简装,永同昌假日国际公寓,江头,0人关注 / 一年前发布,235,"52,095元/平",images\house_28_22.jpg
前面没有遮挡  低楼层 总价低，通透户型,https://xm.lianjia.com/ershoufang/105113795892.html,1室0厅,30.7平米,南,简装,未来橙堡,海沧体育中心,0人关注 / 一年前发布,99,"32,248元/平",images\house_28_23.jpg
吕厝双地铁口，电梯全明格局大两房，业主诚意出售,https://xm.lianjia.com/ershoufang/105114312774.html,2室2厅,79.63平米,南,简装,新景园,江头,1人关注 / 10个月以前发布,418,"52,493元/平",images\house_28_24.jpg
湖景房，双面看湖，视野好，四阳台,https://xm.lianjia.com/ershoufang/105109064932.html,3室1厅,126.57平米,南 北,简装,水晶湖郡A区,集美新城,10人关注 / 一年前发布,520,"41,084元/平",images\house_28_25.jpg
公园旁 楼中楼买算一层面积看江头公园,https://xm.lianjia.com/ershoufang/105115491662.html,2室2厅,57平米,东,简装,新景天湖广场,江头,0人关注 / 5个月以前发布,436,"76,492元/平",images\house_28_26.jpg
吕厝双地铁口电梯高层大三房，朝南向,https://xm.lianjia.com/ershoufang/105115717087.html,3室2厅,134.42平米,南,精装,新景园,江头,0人关注 / 4个月以前发布,616,"45,827元/平",images\house_28_27.jpg
一号线地铁乌石浦站 带电梯三房有入户花园,https://xm.lianjia.com/ershoufang/105107236334.html,3室1厅,104.77平米,南 北,简装,永同昌假日国际公寓,江头,15人关注 / 一年前发布,548,"52,306元/平",images\house_28_28.jpg
小区门口就是公园，07年电梯，复式楼中楼，实用面积多,https://xm.lianjia.com/ershoufang/105111136301.html,2室2厅,47.54平米,东 西,精装,新景天湖广场,江头,6人关注 / 一年前发布,415,"87,295元/平",images\house_28_29.jpg
源通中心 1室1厅 北,https://xm.lianjia.com/ershoufang/105116629059.html,1室1厅,38.09平米,北,简装,源通中心,思北,0人关注 / 1个月以前发布,239,"62,747元/平",images\house_29_0.jpg
江头台湾街，南北通透大平层，价优急售。,https://xm.lianjia.com/ershoufang/105115167990.html,4室2厅,159.1平米,东南 北,简装,桃源大厦,江头,0人关注 / 6个月以前发布,720,"45,255元/平",images\house_29_1.jpg
自住装修  格局好 出行方便 户型方正,https://xm.lianjia.com/ershoufang/105111733817.html,2室1厅,78.44平米,东,精装,银都花园,海沧生活区,1人关注 / 一年前发布,229,"29,195元/平",images\house_29_2.jpg
